event,station,time,phase,amplitude
-1,V0812,2024-08-16 11:09:54.658431000,S,3.8689461849933e-05
72,V0410,2024-08-16 11:10:10.400381055,P,0.00030046947959965755
206,V0505,2024-08-16 11:10:58.436466989,P,0.00025345666403517276
81,V0506,2024-08-16 11:10:14.871403737,P,0.0001716896211329413
-1,V0402,2024-08-16 11:10:32.077797000,S,0.00013814996772369833
-1,V0403,2024-08-16 11:10:51.838636000,P,0.00012440277372830996
99,V0305,2024-08-16 11:10:19.358657126,P,0.000668146070187855
87,V0417,2024-08-16 11:10:16.417520429,P,3.429103393924258e-05
263,V0307,2024-08-16 11:11:22.567995480,P,0.00012128461233789052
50,V0702,2024-08-16 11:10:01.660447282,S,5.297488779394868e-05
114,V0408,2024-08-16 11:10:24.897511092,S,6.331416319956321e-05
-1,V0306,2024-08-16 11:10:24.946258000,P,0.00017089969172587655
-1,V0307,2024-08-16 11:10:17.579627000,S,8.656007450741568e-05
33,V0302,2024-08-16 11:09:54.293452868,S,9.025835219477213e-05
203,V0505,2024-08-16 11:10:56.833299667,S,0.00027564395762754015
91,V0508,2024-08-16 11:10:17.698085854,S,5.2208183358509595e-05
46,V0408,2024-08-16 11:10:00.612317421,P,0.00010088221432564519
-1,V0408,2024-08-16 11:11:23.463316000,S,2.9404428089350977e-05
36,V0805,2024-08-16 11:09:56.307874864,P,4.627164220098555e-05
105,V0307,2024-08-16 11:10:21.173859329,S,4.143177737984517e-05
221,V0305,2024-08-16 11:11:05.848049781,S,6.336448679681946e-05
115,V0407,2024-08-16 11:10:25.084878198,P,9.071129245886219e-05
-1,V0810,2024-08-16 11:10:04.287077000,S,2.706350182303328e-05
-1,V0403,2024-08-16 11:10:41.752435000,S,2.572542207675066e-05
112,V0403,2024-08-16 11:10:24.102323558,S,6.080183060415944e-05
-1,V0402,2024-08-16 11:09:52.113093000,S,9.959141896456558e-05
287,V0402,2024-08-16 11:11:32.512567439,P,0.0001665098046970871
57,V0703,2024-08-16 11:10:04.265900036,P,0.00010221667581821947
111,V0505,2024-08-16 11:10:23.784429997,P,0.00010201125035104305
175,V0309,2024-08-16 11:10:47.281409361,P,0.0003939318387164817
68,V0308,2024-08-16 11:10:08.167431314,P,7.445606690095554e-05
213,V0305,2024-08-16 11:11:03.298146305,P,0.00019392103768217696
247,V0308,2024-08-16 11:11:16.795948561,P,6.616011797389784e-05
116,V0303,2024-08-16 11:10:25.224416775,S,3.766921810277667e-05
271,V0404,2024-08-16 11:11:26.882711661,S,5.147418686332268e-05
37,V0810,2024-08-16 11:09:57.041988508,S,0.0001093094864680341
287,V0805,2024-08-16 11:11:32.512575667,S,0.00017849849524951877
63,V0117,2024-08-16 11:10:07.407612424,P,6.197335119666871e-05
92,V0414,2024-08-16 11:10:17.938563642,P,4.140581481442031e-05
279,V0303,2024-08-16 11:11:29.569490069,S,0.0006325900190065355
26,V0407,2024-08-16 11:09:51.349549632,P,7.181254036974524e-05
-1,V0809,2024-08-16 11:11:28.254870000,P,4.7709030969469034e-05
-1,V0704,2024-08-16 11:09:47.089542000,S,4.835137914944314e-05
-1,V0306,2024-08-16 11:09:51.139316000,S,0.0007439567241357384
-1,V0303,2024-08-16 11:11:11.953862000,P,1.9456688269698306e-05
90,V0417,2024-08-16 11:10:17.690894133,P,6.0650968446789326e-05
181,V0505,2024-08-16 11:10:48.997146744,P,8.96785594764131e-05
37,V0417,2024-08-16 11:09:57.041997912,S,7.257254138859058e-05
-1,V0704,2024-08-16 11:09:49.753423000,P,3.965606149726243e-05
-1,V0302,2024-08-16 11:11:33.706659000,S,0.00012602635539550995
-1,V0402,2024-08-16 11:11:00.086666000,P,5.6871547162794014e-05
266,V0303,2024-08-16 11:11:23.548810636,S,0.0006271418252553338
64,V0412,2024-08-16 11:10:07.432395101,S,0.0005317400271245678
-1,V0805,2024-08-16 11:10:48.644378000,S,4.673042396835175e-05
-1,V0309,2024-08-16 11:09:47.997350000,S,0.0003101488336900605
138,V0302,2024-08-16 11:10:34.823371046,P,7.852051132348093e-05
117,V0414,2024-08-16 11:10:25.407599397,S,4.5578755385856564e-05
162,V0702,2024-08-16 11:10:43.062795332,S,4.451134558546238e-05
272,V0505,2024-08-16 11:11:26.951674672,P,0.00025378156990969107
123,V0305,2024-08-16 11:10:27.748310139,S,5.764928855242412e-05
-1,V0410,2024-08-16 11:11:24.296816000,P,0.0001393499495076583
18,V0802,2024-08-16 11:09:49.437898622,S,3.841119348229721e-05
65,V0508,2024-08-16 11:10:07.630895139,S,7.753376174913262e-05
18,V0302,2024-08-16 11:09:49.437871651,P,9.59129748172068e-05
-1,V0808,2024-08-16 11:10:58.702633000,P,7.836186215483346e-05
42,V0302,2024-08-16 11:09:59.392055654,P,0.00023454887100498337
91,V0505,2024-08-16 11:10:17.698078328,S,0.00011647103808491341
-1,V0409,2024-08-16 11:10:34.230707000,S,0.0002400285839763616
-1,V0703,2024-08-16 11:10:35.078775000,S,0.0002442218582331811
16,V0417,2024-08-16 11:09:48.299105001,P,9.236592939715948e-05
-1,V0306,2024-08-16 11:09:56.506539000,P,0.000263164474175898
224,V0508,2024-08-16 11:11:06.746844947,P,0.0002576398253345254
-1,V0304,2024-08-16 11:11:26.628122000,S,0.000340506745748831
-1,V0305,2024-08-16 11:10:18.226246000,P,5.62728502172115e-05
226,V0807,2024-08-16 11:11:07.781089021,P,0.00012365122870344628
288,V0505,2024-08-16 11:11:32.967236657,P,0.0002376217429718579
-1,V0117,2024-08-16 11:10:07.543614000,P,0.0002690566924816074
-1,V0310,2024-08-16 11:10:24.941306000,S,4.233622063666192e-05
112,V0506,2024-08-16 11:10:24.102302793,P,9.867568264228398e-05
262,V0509,2024-08-16 11:11:22.347996172,S,9.295436019658051e-05
-1,V0504,2024-08-16 11:10:18.987741000,S,0.00012929816276910128
216,V0109,2024-08-16 11:11:04.075017593,P,0.00011115354207253574
133,V0410,2024-08-16 11:10:32.775108269,S,5.9614447350416105e-05
1,V0703,2024-08-16 11:09:40.919886872,S,0.00011891601034066223
122,V0302,2024-08-16 11:10:27.072760594,P,0.00014997670822115478
-1,V0117,2024-08-16 11:09:39.973482000,S,2.7046776597900684e-05
60,V0417,2024-08-16 11:10:05.993493094,S,5.203141162705199e-05
41,V0307,2024-08-16 11:09:59.185553424,P,0.00015086414050380817
120,V0303,2024-08-16 11:10:26.828096180,P,7.920727649888882e-05
284,V0310,2024-08-16 11:11:32.019577983,P,4.0435204076606825e-05
276,V0703,2024-08-16 11:11:28.914360623,P,5.359549765606e-05
179,V0307,2024-08-16 11:10:48.188076273,S,4.2674684803724914e-05
277,V0409,2024-08-16 11:11:28.949765610,S,9.807170548430561e-05
291,V0306,2024-08-16 11:11:34.221140936,S,7.389069933071612e-05
-1,V0302,2024-08-16 11:10:21.580386000,S,7.234081809009506e-05
163,V0407,2024-08-16 11:10:43.704912813,P,4.7797048229096244e-05
206,V0805,2024-08-16 11:10:58.436473603,P,0.00011847040679777423
-1,V0703,2024-08-16 11:11:05.531619000,S,0.00031097948893538357
238,V0303,2024-08-16 11:11:10.942048516,S,0.001001554294546724
197,V0417,2024-08-16 11:10:55.201117456,S,0.0001457645014452056
43,V0414,2024-08-16 11:09:59.422164963,S,0.0002203536486595343
-1,V0306,2024-08-16 11:10:07.218515000,P,3.791846413782663e-05
228,V0410,2024-08-16 11:11:08.158871918,S,0.00022863592277726864
270,V0414,2024-08-16 11:11:26.806601380,S,8.624043142530271e-05
-1,V0807,2024-08-16 11:10:16.804490000,S,0.00010105294221982248
152,V0109,2024-08-16 11:10:39.641141359,P,4.002479221495215e-05
-1,V0502,2024-08-16 11:09:42.828767000,S,0.0003134660401647158
4,V0510,2024-08-16 11:09:41.778220852,P,0.00016890368431133235
216,V0505,2024-08-16 11:11:04.075010166,P,0.004520606856446585
6,V0808,2024-08-16 11:09:42.986682467,P,0.00020645295822443224
182,V0812,2024-08-16 11:10:49.537289489,P,3.8529149205117753e-05
-1,V0809,2024-08-16 11:09:57.376012000,P,0.002013796833637652
138,V0408,2024-08-16 11:10:34.823378571,S,0.00011023413891795447
-1,V0702,2024-08-16 11:10:20.656060000,P,0.00019195986166805262
185,V0809,2024-08-16 11:10:51.677481173,P,6.770897930987227e-05
265,V0402,2024-08-16 11:11:23.067564846,P,3.393648324380146e-05
95,V0404,2024-08-16 11:10:18.789973236,P,4.046177733002808e-05
-1,V0302,2024-08-16 11:11:36.809944000,P,9.779897877124216e-05
-1,V0117,2024-08-16 11:11:38.935001000,P,0.00010398591981706215
71,V0702,2024-08-16 11:10:08.673378841,P,0.00012983989389810268
96,V0309,2024-08-16 11:10:19.114572791,P,7.8037057000878e-05
295,V0302,2024-08-16 11:11:36.221864519,P,4.48259958627414e-05
115,V0702,2024-08-16 11:10:25.084878865,P,4.1648902796561e-05
69,V0412,2024-08-16 11:10:08.560291611,P,9.88309096228625e-05
-1,V0808,2024-08-16 11:10:04.545676000,S,0.00010696767412487235
47,V0505,2024-08-16 11:10:00.669512408,P,6.461257124077496e-05
236,V0807,2024-08-16 11:11:10.609546711,S,0.00014100633344294304
153,V0306,2024-08-16 11:10:39.760257655,P,0.00023235505947739253
52,V0409,2024-08-16 11:10:02.283063265,S,0.00017906061348805152
-1,V0414,2024-08-16 11:11:18.536173000,P,4.2938618877430376e-05
-1,V0508,2024-08-16 11:10:19.023993000,P,0.00010199877303231297
21,V0109,2024-08-16 11:09:50.467127484,P,5.105027375329697e-05
15,V0805,2024-08-16 11:09:47.435299818,S,0.00028654558438550594
-1,V0510,2024-08-16 11:11:29.987895000,P,9.863049765446219e-05
277,V0504,2024-08-16 11:11:28.949770726,S,0.00012183952818116886
281,V0308,2024-08-16 11:11:30.171216503,S,6.610345788631459e-05
35,V0702,2024-08-16 11:09:55.787692355,S,0.00014602242007087787
29,V0811,2024-08-16 11:09:52.258287883,P,4.0826636694911154e-05
130,V0810,2024-08-16 11:10:31.390320073,P,0.00014128461743370547
-1,V0304,2024-08-16 11:10:46.989781000,P,5.487831991354916e-05
45,V0305,2024-08-16 11:10:00.468121174,S,0.0002204083967667596
72,V0508,2024-08-16 11:10:10.400390884,S,0.0001518426915755374
196,V0805,2024-08-16 11:10:54.724498943,S,0.0002277870076709138
276,V0102,2024-08-16 11:11:28.914389868,S,3.2149904412827846e-05
177,V0310,2024-08-16 11:10:47.929195932,P,0.00012424899658243082
113,V0305,2024-08-16 11:10:24.746796983,P,0.0002528435564366802
-1,V0505,2024-08-16 11:10:06.458909000,P,4.407880051465799e-05
287,V0310,2024-08-16 11:11:32.512577472,P,3.97857200113983e-05
296,V0309,2024-08-16 11:11:36.729352981,P,0.00011653292290462318
274,V0305,2024-08-16 11:11:28.733689078,P,8.144992996507505e-05
132,V0509,2024-08-16 11:10:32.115914566,P,6.0711823421867876e-05
109,V0410,2024-08-16 11:10:21.656537317,S,0.002113665714429327
175,V0505,2024-08-16 11:10:47.281404543,P,0.0002033278149754974
142,V0407,2024-08-16 11:10:36.907697147,P,0.00011633964532165646
227,V0509,2024-08-16 11:11:07.974543110,P,3.592005344133459e-05
126,V0417,2024-08-16 11:10:30.514196962,S,6.647640968351075e-05
53,V0410,2024-08-16 11:10:02.360881398,S,0.00011582555078673462
65,V0117,2024-08-16 11:10:07.630894024,S,0.00017813802382633117
182,V0304,2024-08-16 11:10:49.537285149,S,0.00016420080537524477
56,V0808,2024-08-16 11:10:03.261654086,P,0.00031515728146588244
79,V0812,2024-08-16 11:10:13.532840361,P,5.0984965845180864e-05
34,V0417,2024-08-16 11:09:55.750348275,P,8.977490445939403e-05
-1,V0704,2024-08-16 11:09:55.837741000,S,0.00012186910910087666
148,V0306,2024-08-16 11:10:39.513520464,P,0.00010598553959417661
114,V0811,2024-08-16 11:10:24.897501132,S,3.888559414888736e-05
188,V0303,2024-08-16 11:10:52.732762762,P,3.698314468964881e-05
157,V0109,2024-08-16 11:10:40.371186464,S,4.969922975832669e-05
108,V0805,2024-08-16 11:10:21.556540325,P,6.353878730423525e-05
-1,V0703,2024-08-16 11:10:46.090816000,P,0.00025627835967449817
147,V0304,2024-08-16 11:10:39.183651662,S,3.9413591688393367e-05
-1,V0509,2024-08-16 11:10:55.488788000,P,0.00011037532552329372
265,V0303,2024-08-16 11:11:23.067557269,P,7.242972540808939e-05
164,V0310,2024-08-16 11:10:43.959590997,S,5.6489651856907523e-05
-1,V0704,2024-08-16 11:10:44.355412000,S,0.0007410164166700938
207,V0506,2024-08-16 11:11:00.560028237,P,0.00013539053583554156
46,V0408,2024-08-16 11:10:00.612323834,S,0.00010088221432564519
-1,V0402,2024-08-16 11:10:53.007024000,P,0.0001405738957885484
285,V0409,2024-08-16 11:11:32.239190845,P,0.00010632859850637151
-1,V0117,2024-08-16 11:09:50.370760000,S,8.528089167313975e-05
-1,V0412,2024-08-16 11:10:35.445970000,P,0.0003332064012855318
272,V0306,2024-08-16 11:11:26.951693860,S,4.0599027102169876e-05
259,V0504,2024-08-16 11:11:21.619128779,S,0.00018099831564105125
95,V0302,2024-08-16 11:10:18.789964662,S,0.00011721840718008583
-1,V0409,2024-08-16 11:10:24.666054000,S,0.00018844463934165206
-1,V0703,2024-08-16 11:10:56.728200000,S,0.0006917098923612112
205,V0510,2024-08-16 11:10:57.770645615,S,4.824962044724971e-05
122,V0506,2024-08-16 11:10:27.072764215,P,0.0003044663744541161
-1,V0104,2024-08-16 11:10:50.012127000,S,0.00010588569798483237
235,V0306,2024-08-16 11:11:10.338047822,S,0.00037988592567298813
196,V0302,2024-08-16 11:10:54.724512100,S,3.6878456931880796e-05
245,V0509,2024-08-16 11:11:14.755734548,P,0.0002586853039401662
278,V0506,2024-08-16 11:11:28.977346549,S,5.5147737228932665e-05
143,V0809,2024-08-16 11:10:37.198907778,P,7.505714808795002e-05
-1,V0807,2024-08-16 11:10:23.347078000,S,0.0002038110034378169
242,V0809,2024-08-16 11:11:14.002450549,P,4.864339808985179e-05
148,V0417,2024-08-16 11:10:39.513524346,P,0.00013174926126499262
104,V0409,2024-08-16 11:10:20.966339952,S,7.376079095112168e-05
-1,V0414,2024-08-16 11:11:17.498452000,S,4.9654625060261867e-05
-1,V0504,2024-08-16 11:10:46.575391000,P,0.00033542063928508267
78,V0409,2024-08-16 11:10:13.526708012,P,0.00015273707489108385
239,V0302,2024-08-16 11:11:10.982137365,S,9.238481987377503e-05
26,V0811,2024-08-16 11:09:51.349553148,S,5.78634258216791e-05
136,V0809,2024-08-16 11:10:33.255007070,P,8.99397088483518e-05
256,V0117,2024-08-16 11:11:20.950719071,S,0.0001041032395290834
211,V0812,2024-08-16 11:11:02.799012265,P,5.45266671736206e-05
-1,V0805,2024-08-16 11:10:19.019181000,P,6.0281703918537176e-05
103,V0303,2024-08-16 11:10:20.370898267,S,8.143497094194096e-05
64,V0305,2024-08-16 11:10:07.432401951,S,0.00033117073385543875
-1,V0502,2024-08-16 11:10:51.939615000,P,8.06255862155185e-05
153,V0414,2024-08-16 11:10:39.760271845,S,8.34366105263963e-05
152,V0117,2024-08-16 11:10:39.641136839,S,3.530807342255091e-05
167,V0502,2024-08-16 11:10:45.014311420,S,5.7704795953878506e-05
105,V0303,2024-08-16 11:10:21.173853942,S,9.944632620922388e-05
10,V0805,2024-08-16 11:09:44.795087672,P,7.078914089287381e-05
74,V0410,2024-08-16 11:10:11.354076551,P,0.00019852886708407474
210,V0504,2024-08-16 11:11:02.765150797,S,0.0001341314231507776
-1,V0812,2024-08-16 11:11:32.823471000,P,0.00036252694029775996
245,V0308,2024-08-16 11:11:14.755731685,P,0.00016061321317056685
112,V0417,2024-08-16 11:10:24.102323824,S,0.00013814306606919376
71,V0303,2024-08-16 11:10:08.673372730,P,0.00024773593355814443
-1,V0807,2024-08-16 11:09:52.417363000,S,8.792654122929277e-05
232,V0309,2024-08-16 11:11:09.473348977,S,0.00012116184084389804
96,V0408,2024-08-16 11:10:19.114564499,S,0.00025402523802182573
255,V0402,2024-08-16 11:11:20.628440524,P,6.133960216945182e-05
137,V0809,2024-08-16 11:10:33.713869440,P,0.00011885239177313412
-1,V0302,2024-08-16 11:10:42.764173000,P,4.6557716637905974e-05
184,V0510,2024-08-16 11:10:51.191255520,S,8.177280916751074e-05
276,V0304,2024-08-16 11:11:28.914354253,S,0.0003931658117949621
288,V0304,2024-08-16 11:11:32.967235308,P,0.0001574447509088909
228,V0304,2024-08-16 11:11:08.158870727,S,0.00011174992766281907
-1,V0703,2024-08-16 11:10:23.216511000,P,7.354128191113343e-05
274,V0308,2024-08-16 11:11:28.733697209,S,9.208586798762884e-05
121,V0809,2024-08-16 11:10:26.840003887,S,0.0005761797317292391
93,V0805,2024-08-16 11:10:18.640103443,P,4.0552703664236546e-05
-1,V0414,2024-08-16 11:09:46.090934000,P,8.402018810221922e-05
200,V0807,2024-08-16 11:10:55.551068690,P,0.0001238333551315742
175,V0704,2024-08-16 11:10:47.281459974,S,0.00021425283621295468
67,V0407,2024-08-16 11:10:07.960888781,P,4.7822185690108164e-05
85,V0805,2024-08-16 11:10:15.666148946,P,9.619332412023946e-05
29,V0504,2024-08-16 11:09:52.258285481,P,3.822512705806527e-05
46,V0807,2024-08-16 11:10:00.612323119,S,4.191348867579208e-05
225,V0417,2024-08-16 11:11:07.772281447,S,4.294934349335424e-05
225,V0414,2024-08-16 11:11:07.772275720,P,0.0001464860724998467
23,V0407,2024-08-16 11:09:50.571575920,S,0.00013292860340946935
48,V0412,2024-08-16 11:10:01.225486843,P,0.00020687172593551644
-1,V0414,2024-08-16 11:10:57.971336000,P,0.00014327967788047553
-1,V0508,2024-08-16 11:10:09.320980000,P,0.0002664812178271789
-1,V0404,2024-08-16 11:10:07.359702000,S,0.0001328831355258581
211,V0302,2024-08-16 11:11:02.799006395,S,4.223348982414743e-05
-1,V0302,2024-08-16 11:10:25.308518000,S,0.00011475696445994834
43,V0508,2024-08-16 11:09:59.422159047,S,0.0003312364579833321
68,V0805,2024-08-16 11:10:08.167425103,P,3.938356634666542e-05
260,V0502,2024-08-16 11:11:21.653881530,P,7.72155971283611e-05
183,V0702,2024-08-16 11:10:49.783691940,P,4.450617863139728e-05
-1,V0409,2024-08-16 11:10:33.536740000,S,4.985723429034844e-05
207,V0808,2024-08-16 11:11:00.560032269,S,0.0001337259460676103
190,V0305,2024-08-16 11:10:53.308192492,S,0.00013976142899978157
231,V0402,2024-08-16 11:11:08.895721736,S,3.330136071186177e-05
17,V0408,2024-08-16 11:09:48.320320000,P,3.2281698294317685e-05
-1,V0109,2024-08-16 11:10:16.471322000,P,3.3634496008317715e-05
41,V0303,2024-08-16 11:09:59.185555208,S,0.00018241512843918708
160,V0412,2024-08-16 11:10:42.642203703,S,0.00012772206879087955
143,V0807,2024-08-16 11:10:37.198908971,P,0.0005761914955961512
-1,V0414,2024-08-16 11:10:59.133375000,S,0.0007496167977164271
12,V0802,2024-08-16 11:09:46.100940103,P,3.665459644216262e-05
-1,V0414,2024-08-16 11:10:09.217409000,S,0.0001711961088986614
5,V0702,2024-08-16 11:09:42.198099053,S,3.6991358582052233e-05
11,V0414,2024-08-16 11:09:45.782552053,S,0.0001635031996459607
-1,V0403,2024-08-16 11:10:26.780244000,P,4.5299205401968696e-05
40,V0117,2024-08-16 11:09:58.339538647,S,0.0003345865941897988
211,V0302,2024-08-16 11:11:02.799004344,P,4.223348982414743e-05
-1,V0408,2024-08-16 11:11:09.045919000,S,0.00010452756732297989
-1,V0811,2024-08-16 11:10:40.473825000,P,0.0001260320079679274
-1,V0306,2024-08-16 11:11:38.185425000,S,0.0004253842047945525
-1,V0414,2024-08-16 11:09:43.421125000,P,0.00045372022117853535
164,V0808,2024-08-16 11:10:43.959580824,P,0.0002780819570335841
79,V0306,2024-08-16 11:10:13.532827181,P,5.069819964567999e-05
267,V0505,2024-08-16 11:11:24.550112110,P,0.00012701589496074415
78,V0412,2024-08-16 11:10:13.526706946,P,0.0006783432486708076
59,V0404,2024-08-16 11:10:04.693338898,P,3.394612253165868e-05
289,V0805,2024-08-16 11:11:33.006424804,S,0.00042562154265859704
11,V0306,2024-08-16 11:09:45.782544136,P,5.553178438910138e-05
296,V0306,2024-08-16 11:11:36.729344874,P,8.361361420456698e-05
-1,V0402,2024-08-16 11:10:04.605439000,P,3.6170161067436584e-05
86,V0505,2024-08-16 11:10:16.288234373,S,0.000410912122398523
-1,V0309,2024-08-16 11:10:34.492730000,P,7.661302643899479e-05
225,V0414,2024-08-16 11:11:07.772284466,S,0.0001464860724998467
198,V0303,2024-08-16 11:10:55.265494446,P,8.388594513398356e-05
111,V0307,2024-08-16 11:10:23.784438574,S,0.0002524078892954091
287,V0310,2024-08-16 11:11:32.512615271,S,3.97857200113983e-05
298,V0505,2024-08-16 11:11:37.376520715,S,0.0009681015348879965
-1,V0502,2024-08-16 11:11:29.352574000,S,4.225569806217495e-05
-1,V0802,2024-08-16 11:09:47.269997000,S,0.00019884339327450615
-1,V0402,2024-08-16 11:10:40.791486000,P,5.630079387653075e-05
-1,V0807,2024-08-16 11:10:51.331265000,S,3.464030747612222e-05
126,V0805,2024-08-16 11:10:30.514186086,S,4.8009546979480685e-05
240,V0304,2024-08-16 11:11:11.032023080,P,4.466485261218254e-05
249,V0407,2024-08-16 11:11:18.098070473,P,0.00010146207907468132
277,V0307,2024-08-16 11:11:28.949767302,P,5.294284899241619e-05
270,V0408,2024-08-16 11:11:26.806595393,P,5.3833516838975146e-05
-1,V0408,2024-08-16 11:09:56.649449000,S,4.401420993904198e-05
-1,V0510,2024-08-16 11:10:00.926664000,P,3.1078616014350284e-05
16,V0307,2024-08-16 11:09:48.299101401,P,3.470145902598377e-05
91,V0410,2024-08-16 11:10:17.698078146,P,4.506672134095999e-05
178,V0417,2024-08-16 11:10:48.003957432,S,6.365558416720064e-05
271,V0404,2024-08-16 11:11:26.882691887,P,5.147418686332268e-05
205,V0510,2024-08-16 11:10:57.770640818,P,4.824962044724971e-05
104,V0807,2024-08-16 11:10:20.966338984,S,9.439627580060811e-05
-1,V0402,2024-08-16 11:10:43.649945000,P,9.919539191951461e-05
259,V0306,2024-08-16 11:11:21.619135841,P,3.2802938982240955e-05
109,V0402,2024-08-16 11:10:21.656550603,P,0.0003589976379770033
-1,V0509,2024-08-16 11:11:08.685435000,P,8.379624254717657e-05
213,V0102,2024-08-16 11:11:03.298211129,S,0.00012143736552475454
17,V0307,2024-08-16 11:09:48.320331690,S,3.637871100469379e-05
151,V0402,2024-08-16 11:10:39.613186985,P,3.383821387317743e-05
69,V0109,2024-08-16 11:10:08.560302585,S,5.251200401909986e-05
258,V0506,2024-08-16 11:11:21.546818655,S,0.0001477033442735551
138,V0302,2024-08-16 11:10:34.823375093,S,7.852051132348093e-05
234,V0410,2024-08-16 11:11:09.597920847,S,7.15643647957173e-05
-1,V0810,2024-08-16 11:10:18.003579000,S,9.391482087901574e-05
128,V0414,2024-08-16 11:10:30.967593694,P,9.086889834762117e-05
-1,V0102,2024-08-16 11:10:50.810150000,S,9.084042634522116e-05
-1,V0809,2024-08-16 11:10:43.959488000,S,2.3800828153660834e-05
291,V0809,2024-08-16 11:11:34.221133980,S,0.00020261407353305057
175,V0105,2024-08-16 11:10:47.281447794,S,8.32057327925647e-05
290,V0412,2024-08-16 11:11:33.147047360,P,9.532911926771773e-05
-1,V0306,2024-08-16 11:09:48.177151000,P,0.00022521783599232197
20,V0307,2024-08-16 11:09:50.058096509,S,0.00012136490495523469
261,V0303,2024-08-16 11:11:21.729002238,S,6.399723994281886e-05
204,V0502,2024-08-16 11:10:57.756397675,S,4.189812127358828e-05
228,V0307,2024-08-16 11:11:08.158870776,S,0.00013376913803790877
-1,V0412,2024-08-16 11:11:32.512308000,S,0.0003596280953983529
-1,V0304,2024-08-16 11:10:39.371451000,S,0.00030745194984218666
49,V0811,2024-08-16 11:10:01.533335296,P,7.15272942998546e-05
250,V0807,2024-08-16 11:11:18.728742248,P,9.484494560506166e-05
250,V0810,2024-08-16 11:11:18.728745798,S,9.187392469806057e-05
118,V0412,2024-08-16 11:10:25.469683810,S,9.240407188772917e-05
203,V0306,2024-08-16 11:10:56.833306478,P,6.0920566344171016e-05
135,V0510,2024-08-16 11:10:32.984865961,P,3.3204517055156675e-05
277,V0506,2024-08-16 11:11:28.949764829,S,8.716330909811408e-05
113,V0802,2024-08-16 11:10:24.746814991,P,3.655325403487739e-05
-1,V0307,2024-08-16 11:11:17.642672000,P,0.00019819028946079615
35,V0703,2024-08-16 11:09:55.787710090,S,0.00010805015997021467
